,PROPERTIES_SHOPPABLE_POST_ID,POST_TIMESTAMP,LAST_CLICK_TIMESTAMP,PREVIEW,FULL_VIEW,CTR,RT_SCORE,score,coldness_score,hotness_score,date
236301,236301,1569822073854,1569976472005.0,14,10,0.4166666666666667,89.4374419776214,99.98288809050896,49.98323249347668,49.99965559703228,2019-09-29 22:41:13.854
236302,236302,1569822167790,1569822181344.0,1,0,0.0,54.138827560929684,54.158609607325715,49.99997478262959,4.158634824696119,2019-09-29 22:42:47.790
236303,236303,1569822831005,,0,0,NaN,49.987984414359055,49.999984704888654,49.999984704888654,0.0,2019-09-29 22:53:51.005
236932,236932,1569944714921,1569998048640.0,862,57,0.062023939064200215,11.937714654837563,12.699025448281844,0.0,12.699025448281844,2019-10-01 08:45:14.921
236973,236973,1569950316185,1569997089343.0,1096,103,0.08590492076730609,16.791851041838147,18.637491529125807,0.0,18.637491529125807,2019-10-01 10:18:36.185
236974,236974,1569950462078,1569997089343.0,1520,115,0.07033639143730887,13.513312363040658,14.588096783778376,0.0,14.588096783778376,2019-10-01 10:21:02.078
236916,236916,1569940650178,1569985885409.0,38,10,0.20833333333333334,42.703297855701855,48.19905346316807,0.8993104981045774,47.299742965063494,2019-10-01 07:37:30.178
236933,236933,1569944728141,1569996709878.0,52,5,0.08771929824561403,17.198930263248023,19.14978299950697,0.0008350710923976656,19.148947928414575,2019-10-01 08:45:28.141
236965,236965,1569948322438,1569996018535.0,301,8,0.025889967637540454,6.606815354504357,6.686125003861084,0.0,6.686125003861084,2019-10-01 09:45:22.438
236985,236985,1569952719118,1569962714414.0,29,0,0.0,4.2633260804790645,35.28160138478885,31.12296656009273,4.158634824696119,2019-10-01 10:58:39.118
236984,236984,1569952281244,1569996281476.0,482,16,0.0321285140562249,7.355627084430441,7.490451882962007,0.0,7.490451882962007,2019-10-01 10:51:21.244
236986,236986,1569952932577,1569998123787.0,10058,846,0.07758620689655173,14.989732991390191,16.394354792891562,0.0,16.394354792891562,2019-10-01 11:02:12.577
236988,236988,1569953406112,1569956998672.0,16,0,0.0,33.287145147811856,54.113082264976086,49.95444744027997,4.158634824696119,2019-10-01 11:10:06.112
236980,236980,1569951841969,1569997671680.0,664,39,0.05547652916073969,10.788668387966196,11.350244137172636,0.0,11.350244137172636,2019-10-01 10:44:01.969
236970,236970,1569949281860,1569997844907.0,1334,110,0.07617728531855955,14.695653741268014,16.03208269221403,0.0,16.03208269221403,2019-10-01 10:01:21.860
